,RMSE,MAE,HITRATE
0,0.3904280811068064,0.3255446802343059,0.508600237247924
500,0.02502356534050142,0.018471813565880017,0.58926453143535
1000,0.03125291014789131,0.025514940814361738,0.5649466192170819
1500,0.028807309406814648,0.02372098045689004,0.5667259786476868
2000,0.025086579038012962,0.01914086522078118,0.5815539739027283
2500,0.029111752524784866,0.022362413334230058,0.5791814946619217
3000,0.023274972436851022,0.018274784075096945,0.5925266903914591
3500,0.033803464035715006,0.02798289323490957,0.5643534994068802
4000,0.021177258338875363,0.01627348706988946,0.5934163701067615
4500,0.030659123071352497,0.023615873723777176,0.5800711743772242
5000,0.023064882861431265,0.017882774333567716,0.5987544483985765
5500,0.031818176493383775,0.026251405513871767,0.5711743772241993
6000,0.021601634442552236,0.016809661368176944,0.5931198102016607
6500,0.029809617883030874,0.0228318192386425,0.5827402135231317
7000,0.022720594941008112,0.017598407003987005,0.5966785290628707
7500,0.03079093804475356,0.02542929505992919,0.5723606168446026
8000,0.020821524300041444,0.01595450843619254,0.5951957295373665
8500,0.028715708328831434,0.021990222133563837,0.5833333333333334
9000,0.022588393895383467,0.017690024187315433,0.5960854092526691
9500,0.02989879491858658,0.024740569438018646,0.571767497034401
10000,0.020392679156931257,0.015373846460651144,0.6023131672597865
10500,0.02667635358989605,0.020263763381974335,0.5904507710557533
11000,0.023258929402570103,0.01846894729391514,0.5960854092526691
11500,0.027916550797555662,0.02310719673794428,0.5762158956109134
12000,0.022045543451549188,0.016640751153158717,0.6008303677342823
12500,0.023475038392102552,0.01732084166716493,0.6180308422301305
13000,0.025057675447134064,0.020323000851803618,0.5862989323843416
13500,0.024624742368930492,0.020169937096275386,0.5768090154211151
14000,0.024432977163607213,0.01844463241646117,0.6034994068801898
14500,0.021479621899859146,0.016266783601098872,0.6088374851720048
15000,0.026707223581707303,0.021985326834929094,0.5794780545670225
15500,0.021105914080033258,0.01657319556414039,0.5913404507710558
16000,0.02449041873516178,0.018500029023465644,0.6014234875444839
16500,0.021527565579060062,0.01688635554291496,0.5937129300118624
17000,0.025882938248068362,0.02133446803849721,0.5782918149466192
17500,0.020908389857658506,0.015671222685709876,0.6150652431791221
18000,0.022272766234780434,0.016444391897251324,0.6230723606168446
18500,0.023557185131465506,0.018989366293582482,0.5874851720047449
19000,0.022349974666862546,0.018012631960603653,0.5880782918149466
19500,0.02349715461704301,0.01761050337419903,0.608244365361803
20000,0.02109735830889453,0.01617468187044475,0.5990510083036773
